,Name,Latitude,Longitude
0,Bellavista,37.335018413019284,-5.972330273896197
1,El Plantinar,37.374396702043164,-5.972093551317675
2,El Cerro,37.372245737319496,-5.958408767715507
3,Retiro Obrero,37.4024573230441,-5.9791577380943775
4,La Oliva,37.365468434104734,-5.969883199984256
5,Bda. Pino Montano,37.42309799135725,-5.968294634233552
6,Torreblanca,37.399933402502725,-5.911995000356989
7,Isla de Garza,37.30950575217522,-6.025354258721711
8,Tablada,37.34741276288994,-6.006503099345784
9,Las Almenas,37.415530212474046,-5.964339507941103
10,Triana Oeste,37.39840413657745,-6.009099290356142
11,Los Remedios,37.37423571308545,-5.999089566551655
12,"El Cano, Los Bermejales",37.34546956019327,-5.978849999640631
13,El Porvenir,37.3712026039152,-5.982424553622384
14,"Pedro Salvador, Las Palmeritas",37.35591863528494,-5.976195241710314
15,Nervión,37.3824659996446,-5.965986618994715
16,San Bartolomé,37.3885255481549,-5.98721702024097
17,"Doctor Barraquer, G. Renfe, Policlínico",37.40592250996837,-5.99115867869914
18,Los Pájaros,37.38403092637539,-5.9565508084896335
19,San Pablo C,37.39534230144142,-5.961384244540202
20,El Gordillo,37.4375539638571,-5.940061867596651
21,"El Tardón, El Carmen",37.375986006736895,-6.010761694956495
22,"Sector Sur, La Palmera, Reina Mercedes",37.360660812808455,-5.988271744978645
23,Bami,37.359799026535704,-5.97787949612125
24,"Tiro de Línea, Santa Genoveva",37.36905814402019,-5.975320547807309
25,"Felipe II, Los Diez Mandamientos",37.37104070177199,-5.972883893363382
26,Rochelambert,37.375241854232044,-5.954151790385033
27,Feria,37.397699759995774,-5.990897550049356
28,"Macarena 3 Huertas, Macarena 5",37.40995439396759,-5.990152928749402
29,El Rocío,37.408132627152135,-5.9819044032706
30,"Los Príncipes, La Fontanilla",37.41501898296126,-5.977188068109023
31,Las Huertas,37.39862024547792,-5.966956256245344
32,"Santa María de Ordas, San Nicolás",37.40330127496122,-5.974862523217647
33,Arbol Gordo,37.40090061758092,-5.973118762469501
34,"Santa Aurelia, Cantábrico, Atlántico, La Romería",37.38281306941452,-5.947948060465017
35,Santa Cruz,37.382573075782474,-5.991876086121894
36,Giralda Sur,37.37474817932907,-5.976729325485302
37,La Plata,37.370085209818406,-5.948513406071922
38,Triana Casco Antiguo,37.384773192886925,-6.0029781040176
39,Museo,37.39050896444776,-6.0021959079843645
40,La Florida,37.38656865264765,-5.983389837414026
41,San Lorenzo,37.40010773864152,-5.997295637548754
42,"La Paz, Las Golondrinas",37.41189451686976,-5.987861966602754
43,"Hermandades, La Carrasca",37.4094090718023,-5.980845286662983
